,price,production_year,mileage,fuel_type,mark,model,fiscal_power
237,137000,2016.0,34999,Diesel,Dacia,Duster,6
238,340000,2012.0,74999,Diesel,Land Rover,Range Rover Evoque,8
239,32000,1994.0,44999,Diesel,Peugeot,306,6
240,95000,2003.0,349999,Diesel,Volkswagen,GOLF 4,9
241,178000,2014.0,54999,Diesel,Alfa Romeo,Giulietta,6
242,700000,2004.0,139999,Essence,Volkswagen,GOLF 5,6
243,95000,2001.0,189999,Diesel,Mercedes-Benz,220,6
244,67000,2008.0,64999,Essence,Nissan,Sunny,9
245,63000,2003.0,249999,Diesel,Volkswagen,Bora,6
246,120000,2010.0,119999,Diesel,Volkswagen,GOLF 6,6
247,88000,2006.0,84999,Essence,mini,one,8
248,179000,2015.0,84999,Diesel,Volkswagen,GOLF 7,8
249,99000,2007.0,169999,Diesel,Honda,CR-V,9
250,195000,2013.0,84999,Diesel,Mercedes-Benz,Classe B,8
251,53000,2006.0,129999,Diesel,Citroen,Berlingo,6
252,43000,2010.0,249999,Diesel,Renault,19,6
253,62000,2011.0,64999,Essence,Peugeot,206,6
254,108000,2015.0,74999,Diesel,Dacia,Dokker,6
255,125000,2015.0,119999,Diesel,Hyundai,Accent,6
256,53000,2008.0,4999,Diesel,Dacia,Logan,6
257,99000,2012.0,74999,Diesel,Seat,Ibiza,6
258,27000,1994.0,44999,Diesel,Citroen,C15,6
259,70000,2011.0,49999,Diesel,Dacia,Sandero,6
260,42000,2008.0,109999,Essence,Peugeot,206,6
261,182000,2014.0,79999,Diesel,Seat,Leon,8
262,20000,2009.0,179999,Essence,Chery,QQ,6
263,109000,2011.0,189999,Diesel,Volkswagen,Passat,6
264,90000,2008.0,189999,Diesel,Toyota,Corolla,6
265,57000,2005.0,249999,Diesel,Citroen,Xsara Picasso,6
266,30000,1991.0,64999,Diesel,Citroen,C15,7
267,30000,2016.0,24999,Diesel,Mercedes-Benz,220,6
268,103000,2015.0,24999,Diesel,Dacia,Logan,6
269,33500,2007.0,249999,Essence,Suzuki,Alto,6
270,45000,1997.0,199999,Essence,Fiat,Punto,6
271,220000,2013.0,159999,Diesel,BMW,X3,8
272,139000,2013.0,84999,Diesel,Citroen,C5,8
273,34000,1994.0,4999,Essence,Renault,19,6
274,33000,1998.0,179999,Diesel,Seat,Ibiza,6
275,74000,2012.0,29999,Diesel,Peugeot,Partner,6
276,145000,2013.0,199999,Diesel,Peugeot,Expert,8
277,330000,2014.0,74999,Diesel,BMW,Serie 3,6
278,44000,2006.0,129999,Essence,Citroen,C3,6
279,95000,2010.0,139999,Diesel,lancia,Delta,6
280,26000,1992.0,249999,Essence,Fiat,Uno,6
281,95000,2010.0,139999,Diesel,lancia,Delta,6
282,340000,2012.0,74999,Diesel,Land Rover,Range Rover Evoque,8
283,115000,2010.0,139999,Diesel,Renault,Megane,7
284,30000,1994.0,149999,Essence,Renault,Twingo,6
285,105000,2008.0,149999,Diesel,Ford,Focus,6
286,250000,2011.0,74999,Essence,BMW,Serie 5,17
287,178000,2013.0,89999,Diesel,Toyota,Hilux,7
288,85000,1998.0,249999,Diesel,Toyota,Land Cruiser,17
289,80000,2009.0,119999,Essence,Fiat,500,7
290,75000,2004.0,89999,Diesel,Renault,Kangoo,6
291,133000,2015.0,64999,Diesel,Dacia,Duster,6
292,138000,2015.0,139999,Diesel,Dacia,Duster,6
293,175000,2008.0,149999,Diesel,Mercedes-Benz,220,6
294,74500,1999.0,299999,Diesel,Volkswagen,GOLF 4,8
295,82000,2014.0,109999,Essence,Ford,Fiesta,7
296,43000,1997.0,189999,Essence,Mercedes-Benz,230,11
297,67000,2007.0,199999,Diesel,Renault,Megane,6
298,140000,2002.0,249999,Diesel,Hyundai,GALLOPER,10
299,85000,2004.0,249999,Diesel,Volkswagen,Touran,6
300,250000,2010.0,39999,Essence,Mercedes-Benz,Classe E,6
301,52000,2004.0,179999,Essence,Honda,BOSS,6
302,89500,2012.0,119999,Diesel,Fiat,GRANDE PUNTO,5
303,150000,2010.0,129999,Diesel,Volvo,XC60,6
304,97000,2014.0,89999,Diesel,Ford,Fiesta,7
305,75000,2008.0,109999,Diesel,Citroen,C3,6
306,80000,2006.0,129999,Diesel,Peugeot,407,6
307,48000,1996.0,24999,Diesel,Mercedes-Benz,Classe C,6
308,61000,1999.0,249999,Diesel,Volkswagen,Golf,8
309,63000,2004.0,4999,Diesel,Opel,Astra,7
310,40000,2011.0,94999,Essence,Kia,Picanto,6
311,95000,2014.0,94999,Diesel,Dacia,Sandero,6
312,47000,2009.0,109999,Essence,Kia,Picanto,6
313,165000,2011.0,129999,Diesel,Hyundai,ix 35,8
314,269000,2012.0,119999,Diesel,Mercedes-Benz,Classe E,6
315,28000,1991.0,299999,Diesel,Peugeot,309,8
316,78000,2013.0,49999,Essence,Suzuki,Swift,6
317,350000,2013.0,44999,Diesel,Land Rover,Range Rover Evoque,9
318,96000,2014.0,119999,Diesel,Peugeot,301,6
319,73000,2000.0,189999,Diesel,Volkswagen,GOLF 4,6
320,225000,2014.0,109999,Diesel,Volkswagen,GOLF 7,6
321,59000,2012.0,94999,Diesel,Peugeot,Bipper,5
322,53000,2008.0,189999,Essence,Kia,Picanto,6
323,49000,2002.0,169999,Essence,Jaguar,X-Type,6
324,30000,2001.0,199999,Diesel,Fiat,Palio,6
325,59000,2009.0,4999,Diesel,Dacia,Logan,6
326,315000,2013.0,189999,Diesel,Volkswagen,Tiguan,8
327,57000,2011.0,129999,Essence,Renault,Symbol,7
328,95000,2011.0,139999,Diesel,Renault,Kangoo,6
329,47000,2004.0,84999,Essence,Nissan,Sunny,6
330,275000,2012.0,149999,Diesel,Volkswagen,Tiguan,6
331,98000,2006.0,189999,Diesel,Volkswagen,Passat,6
332,43000,2010.0,4999,Essence,Dacia,Logan,6
333,38000,2008.0,54999,Essence,Suzuki,Alto,6
334,48000,2008.0,84999,Essence,Kia,Picanto,6
335,45000,1998.0,249999,Essence,Fiat,Palio,6
336,84000,2015.0,119999,Diesel,Peugeot,301,6
337,55000,2002.0,249999,Diesel,Bentley,Azure,6
338,59000,2011.0,89999,Essence,Kia,Picanto,5
339,90000,2004.0,249999,Diesel,Volkswagen,Touran,6
340,90000,2007.0,159999,Diesel,Peugeot,407,8
341,57000,2011.0,169999,Diesel,Dacia,Logan,6
342,489000,2016.0,19999,Diesel,Mercedes-Benz,Classe E,6
343,31000,1991.0,139999,Essence,Renault,Clio,7
344,62000,2012.0,179999,Essence,Nissan,NOTE,6
345,199000,2011.0,299999,Diesel,BMW,Serie 5,12
346,105000,2015.0,59999,Diesel,Peugeot,301,6
347,87000,2013.0,129999,Diesel,Dacia,Sandero,7
348,115000,2016.0,29999,Essence,Fiat,500,6
349,62000,2006.0,159999,Diesel,Kia,Cerato,8
350,60000,2003.0,24999,Diesel,Peugeot,307 SW,7
351,65000,2006.0,109999,Diesel,Peugeot,607,6
352,70000,2007.0,99999,Diesel,Dacia,Logan,6
353,78000,2011.0,84999,Diesel,Renault,Symbol,6
354,99000,2013.0,69999,Diesel,Ford,Fiesta,6
355,85000,2003.0,159999,Diesel,Mercedes-Benz,Classe C,8
356,33000,1993.0,349999,Diesel,Volkswagen,Passat,6
357,33000,1991.0,44999,Diesel,BMW,Serie 5,6
358,59000,2006.0,4999,Diesel,Dacia,Logan,6
359,63000,2006.0,349999,Diesel,Mercedes-Benz,220,6
360,106000,2011.0,139999,Diesel,Seat,Leon,6
361,29000,1991.0,299999,Diesel,Volkswagen,Jetta,6
362,76000,2007.0,179999,Diesel,Ford,Focus,7
363,63000,2009.0,189999,Diesel,Dacia,Sandero,6
364,120000,2007.0,249999,Diesel,Toyota,Prado,12
365,229000,2012.0,139999,Diesel,BMW,Serie 3,6
366,73000,2008.0,159999,Essence,Seat,Leon,6
367,140000,2002.0,249999,Diesel,Hyundai,GALLOPER,10
368,30300,1999.0,299999,Diesel,Citroen,C15,6
369,68000,1991.0,349999,Diesel,Mercedes-Benz,190,8
370,135000,2003.0,249999,Diesel,Mercedes-Benz,Classe E,6
371,220000,2014.0,49999,Diesel,Mercedes-Benz,Classe A,8
372,280000,2010.0,199999,Diesel,Mercedes-Benz,Classe E,6
373,30000,1997.0,199999,Diesel,Nissan,TERRANO,6
374,62000,2004.0,9999,Diesel,Citroen,Berlingo,6
375,33500,2008.0,249999,Essence,Suzuki,Alto,6
376,115000,2007.0,249999,Diesel,Volkswagen,Passat,6
377,215000,2012.0,94999,Diesel,Land Rover,Freelander,8
378,34000,1999.0,129999,Essence,Toyota,Corolla,6
379,53000,2003.0,119999,Diesel,Peugeot,607,6
380,80000,2013.0,109999,Diesel,Peugeot,Bipper,6
381,54000,2010.0,129999,Essence,Renault,Symbol,7
382,58000,2006.0,189999,Diesel,Peugeot,407,6
383,35000,2012.0,59999,Essence,Chery,QQ,6
384,30000,2013.0,249999,Diesel,Dacia,Logan,6
385,220000,2012.0,79999,Diesel,Mercedes-Benz,Classe C,9
386,118000,2015.0,49999,Diesel,Renault,Clio,7
387,52000,2009.0,169999,Essence,Fiat,Punto,6
388,110000,2008.0,249999,Diesel,Hyundai,Santa Fe,8
389,78000,2003.0,299999,Diesel,Volkswagen,Passat,6
390,165000,2011.0,119999,Diesel,Kia,Sportage,8
391,55000,2005.0,249999,Diesel,Renault,Clio,6
392,110000,2005.0,179999,Diesel,BMW,Serie 7,6
393,220000,2015.0,109999,Diesel,Volkswagen,PASSAT CC,8
394,440000,2014.0,109999,Diesel,Mercedes-Benz,Classe C,6
395,150000,2014.0,9999,Diesel,Renault,Kangoo,6
396,77000,1999.0,39999,Diesel,Mitsubishi,L200,10
397,30000,2000.0,199999,Essence,Mercedes-Benz,220,6
398,82000,2009.0,199999,Diesel,Renault,Kangoo,7
399,40000,2008.0,169999,Essence,Peugeot,206,6
400,95000,1993.0,49999,Diesel,Land Rover,Defender,10
401,143000,2015.0,84999,Diesel,Renault,Megane,6
402,98000,1997.0,249999,Diesel,Land Rover,Defender,10
403,130000,2005.0,249999,Diesel,Mercedes-Benz,220,6
404,57000,2007.0,249999,Diesel,Ssangyong,Rexton,11
405,115000,2014.0,34999,Diesel,Renault,Clio,6
406,39000,2008.0,129999,Essence,Kia,Picanto,6
407,70000,2012.0,9999,Diesel,Dacia,Logan,6
408,103000,2014.0,159999,Diesel,Citroen,C3,6
409,113000,2010.0,249999,Diesel,Skoda,Octavia,8
410,105000,2010.0,119999,Diesel,Renault,Megane,7
411,135000,2013.0,189999,Diesel,Volkswagen,Touran,6
412,46000,1994.0,119999,Diesel,Renault,19,6
413,220000,2011.0,179999,Diesel,Mercedes-Benz,Classe C,6
414,75000,2008.0,249999,Diesel,Citroen,Berlingo,6
415,135000,2013.0,109999,Diesel,Volkswagen,Jetta,8
416,36000,2000.0,199999,Essence,Fiat,Palio,6
417,85000,2011.0,94999,Essence,Volkswagen,Polo,6
418,92000,2007.0,24999,Diesel,Seat,Leon,6
419,73000,2007.0,4999,Diesel,Toyota,Corolla,6
420,98000,2006.0,179999,Diesel,Hyundai,Santa Fe,6
421,110000,2010.0,149999,Diesel,Opel,Astra,6
422,58000,2007.0,159999,Diesel,Peugeot,305,7
423,127000,2014.0,109999,Diesel,Peugeot,308,6
424,4500,2000.0,49999,Diesel,Citroen,XSARA,6
425,55000,2006.0,149999,Essence,Nissan,Murano,6
426,46000,2008.0,109999,Essence,Kia,Picanto,6
427,56000,2007.0,249999,Diesel,Dacia,Logan,6
428,205000,2010.0,149999,Diesel,BMW,Serie 5,11
429,52000,2010.0,74999,Essence,Citroen,C1,6
430,103000,2014.0,139999,Diesel,Renault,Clio,6
431,125000,2014.0,149999,Diesel,Peugeot,308,6
432,78000,2008.0,159999,Diesel,Peugeot,307,6
433,24000,1997.0,249999,Essence,Peugeot,205,6
434,320000,2013.0,69999,Diesel,Land Rover,Range Rover Evoque,9
435,89000,2013.0,64999,Essence,Fiat,500,6
436,63000,2005.0,179999,Diesel,Volkswagen,Polo,8
437,62000,2007.0,249999,Diesel,Peugeot,206,6
438,19000,1996.0,69999,Diesel,Ford,BEDFORD,6
439,72000,2006.0,169999,Diesel,Hyundai,TERRACAN,10
440,45000,2005.0,249999,Essence,Peugeot,407,6
441,58000,1998.0,4999,Diesel,Mercedes-Benz,250,10
442,70000,2002.0,79999,Essence,Peugeot,206 CC,6
443,50000,2008.0,169999,Essence,Honda,Jazz,6
444,129000,2012.0,139999,Diesel,Toyota,Avensis,8
445,53000,2001.0,29999,Diesel,Peugeot,206,6
446,49000,2009.0,149999,Essence,Dacia,Logan,6
447,50000,1992.0,34999,Diesel,Mercedes-Benz,250,6
448,258000,2014.0,139999,Diesel,Hyundai,Santa Fe,9
449,73000,2007.0,119999,Essence,Toyota,Corolla,8
450,330000,2012.0,109999,Diesel,Land Rover,Range Rover,12
